Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,First_diff,Nifty_Open,Nifty_High,Nifty_Low,Nifty_Close
27-04-2000,RELIANCE,EQ,357.95,360.8,366,338.3,343.5,345.65,352.56,29547592,1.04E+15,-0.01,1436.15,1455.85,1400.65,1416.90
28-04-2000,RELIANCE,EQ,345.65,347.5,351.9,340.3,344.4,345.05,346.2,13426369,4.65E+14,-6.36,1419.9,1438.00,1396.55,1406.50
02-05-2000,RELIANCE,EQ,345.05,348,354.65,325.25,329.3,329.15,337.06,16424665,5.54E+14,-9.14,1410,1421.50,1319.65,1333.40
03-05-2000,RELIANCE,EQ,329.15,327,333.85,309.2,331,328,324.41,13760253,4.46E+14,-12.65,1330.15,1342.15,1258.10,1316.00
04-05-2000,RELIANCE,EQ,328,331,342.95,331,336.25,337.2,338.54,11327281,3.83E+14,14.13,1317.95,1385.15,1317.95,1380.50
05-05-2000,RELIANCE,EQ,337.2,338.5,341.55,328.1,335,335.35,335.31,11144621,3.74E+14,-3.23,1381.9,1428.60,1381.90,1422.40
08-05-2000,RELIANCE,EQ,335.35,331,337,322.3,324.25,324,328.5,5891336,1.94E+14,-6.81,1423.25,1436.60,1358.80,1365.00
09-05-2000,RELIANCE,EQ,324,321.5,331.85,318.4,330.25,328.35,324.01,6136642,1.99E+14,-4.49,1362.45,1385.70,1328.05,1378.50
10-05-2000,RELIANCE,EQ,328.35,330,334.9,323.3,324.1,325.25,329.48,6652614,2.19E+14,5.47,1380.4,1391.35,1359.65,1363.10
11-05-2000,RELIANCE,EQ,325.25,324.05,324.05,314,318.5,316.75,318.6,6428965,2.05E+14,-10.88,1359.1,1359.10,1295.95,1304.50
12-05-2000,RELIANCE,EQ,316.75,319.6,322.5,313.3,317.6,315.9,318.08,4135346,1.32E+14,-0.52,1305.3,1326.30,1276.40,1282.80
15-05-2000,RELIANCE,EQ,315.9,312.05,324.7,306.5,318.6,319.5,315.42,5797353,1.83E+14,-2.66,1281.3,1311.70,1220.70,1299.20
16-05-2000,RELIANCE,EQ,319.5,320,321.9,315,318.5,317.4,317.47,3133472,9.95E+13,2.05,1300.2,1310.45,1287.80,1306.80
17-05-2000,RELIANCE,EQ,317.4,320.9,328.4,316.25,319,318.85,324.18,7802567,2.53E+14,6.71,1310.8,1347.70,1303.75,1311.60
18-05-2000,RELIANCE,EQ,318.85,318,319.75,307.1,309.25,310.1,313.25,5382755,1.69E+14,-10.93,1311.3,1316.20,1289.55,1293.40
19-05-2000,RELIANCE,EQ,310.1,308,319.05,307.25,315,315.6,313.99,7967132,2.50E+14,0.74,1293.45,1293.45,1252.70,1268.00
22-05-2000,RELIANCE,EQ,315.6,313,316.9,309,313.5,312.45,313.49,3117749,9.77E+13,-0.5,1267.85,1267.85,1228.40,1233.00
23-05-2000,RELIANCE,EQ,312.45,312.3,316,308.5,315.1,314.75,312.48,4169391,1.30E+14,-1.01,1229.25,1230.90,1203.20,1224.40
24-05-2000,RELIANCE,EQ,314.75,313.65,317.9,310,313.15,312.75,314.43,4041968,1.27E+14,1.95,1224.5,1246.25,1201.50,1235.90
25-05-2000,RELIANCE,EQ,312.75,312.3,317.8,311.1,313.5,312.8,314.91,2617268,8.24E+13,0.48,1237,1269.80,1235.70,1247.60
26-05-2000,RELIANCE,EQ,312.8,314.8,318,311,317.65,316.45,314.74,3504803,1.10E+14,-0.17,1247.1,1278.75,1232.85,1275.30
29-05-2000,RELIANCE,EQ,316.45,318.5,347.45,318,337.7,339.45,335.76,11805354,3.96E+14,21.02,1273.7,1317.75,1267.40,1311.00
30-05-2000,RELIANCE,EQ,339.45,340.75,345.85,337.1,343.7,343.8,342.89,5690548,1.95E+14,7.13,1310.8,1347.30,1304.95,1344.80
31-05-2000,RELIANCE,EQ,343.8,351,356.8,342.1,343.3,343.9,349.35,8452065,2.95E+14,6.46,1355.35,1410.75,1355.35,1380.40
01-06-2000,RELIANCE,EQ,343.9,342.1,345.9,336.15,339.2,339.2,341.39,5381385,1.84E+14,-7.96,1380.4,1380.40,1345.10,1349.00
02-06-2000,RELIANCE,EQ,339.2,343,346,334.1,335.9,337.45,341.63,5846405,2.00E+14,0.24,1350.15,1395.35,1350.15,1389.20
05-06-2000,RELIANCE,EQ,337.45,337.7,351.85,336.4,338.95,339.2,345.43,10843536,3.75E+14,3.8,1390.95,1461.05,1390.95,1404.60
06-06-2000,RELIANCE,EQ,339.2,338,342.85,336.1,338.4,338.8,339.82,3919322,1.33E+14,-5.61,1405.45,1426.15,1392.70,1421.70
07-06-2000,RELIANCE,EQ,338.8,339.9,344.4,336.25,337.75,337.95,340.29,3752088,1.28E+14,0.47,1423.4,1442.70,1413.80,1430.30
08-06-2000,RELIANCE,EQ,337.95,339.9,345,338.25,340,340.85,342.03,4600458,1.57E+14,1.74,1430.5,1468.70,1430.50,1463.60
09-06-2000,RELIANCE,EQ,340.85,341.9,352.7,339.05,339.7,341.2,346.03,12293372,4.25E+14,4,1464.3,1485.50,1458.90,1467.20
12-06-2000,RELIANCE,EQ,341.2,342.4,345.7,338.55,340.1,339.4,342.26,4122051,1.41E+14,-3.77,1464.4,1477.55,1437.15,1440.40
13-06-2000,RELIANCE,EQ,339.4,339,346.45,337.05,338.45,338.5,341.51,6836937,2.33E+14,-0.75,1438.8,1438.80,1411.90,1432.90
